GJAHR	WBS3	TXT_WBS3	INV_TYP	INV_TYP_TXT	WBS1	TXT_WBS1	PLFAZ	PLSEZ	WAERS	USR06	USR07	WBS2	TXT_WBS2	KOKRS	TXT_KOKRS	BUKRS	TXT_BUKRS	GSBER	TXT_GSBER	PRCTR	TXT_PRCTR	USR08	USR02	USR00	USR01	USR00_1	USR00_2	USR00_3	USR00_4	ZZUSRCURR_01	KOSTL	TXT_KOSTL	ANLKL	TXT_ANLKL	WW000	TXT_WW000	WW100	TXT_WW100	WW129	TXT_WW129	KALSM	TXT_KALSM	USR11	USR10	PLN_S00_01	PLN_S00_02	PLN_S00_03	PLN_S00_04	PLN_S00_05	PLN_S00_06	PLN_S00_07	PLN_S00_08	PLN_S00_09	PLN_S00_10	PLN_S00_11	PLN_S00_12	PLN_V00_01	PLN_V00_02	PLN_V00_03	PLN_V00_04	PLN_V00_05	PLN_V00_06	PLN_V00_07	PLN_V00_08	PLN_V00_09	PLN_V00_10	PLN_V00_11	PLN_V00_12	PLN_E00_01	PLN_E00_02	PLN_E00_03	PLN_E00_04	PLN_E00_05	PLN_E00_06	PLN_E00_07	PLN_E00_08	PLN_E00_09	PLN_E00_10	PLN_E00_11	PLN_E00_12	BDG_B00_01	BDG_B00_02	BDG_B00_03	BDG_B00_04	BDG_B00_05	BDG_B00_06	BDG_B00_07	BDG_B00_08	BDG_B00_09	BDG_B00_10	BDG_B00_11	BDG_B00_12	BDG_B01_01	BDG_B01_02	BDG_B01_03	BDG_B01_04	BDG_B01_05	BDG_B01_06	BDG_B01_07	BDG_B01_08	BDG_B01_09	BDG_B01_10	BDG_B01_11	BDG_B01_12	BDG_CHG_01	BDG_CHG_02	BDG_CHG_03	BDG_CHG_04	BDG_CHG_05	BDG_CHG_06	BDG_CHG_07	BDG_CHG_08	BDG_CHG_09	BDG_CHG_10	BDG_CHG_11	BDG_CHG_12	ACT_APPR_01	ACT_APPR_02	ACT_APPR_03	ACT_APPR_04	ACT_APPR_05	ACT_APPR_06	ACT_APPR_07	ACT_APPR_08	ACT_APPR_09	ACT_APPR_10	ACT_APPR_11	ACT_APPR_12	ACT_UNAP_01	ACT_UNAP_02	ACT_UNAP_03	ACT_UNAP_04	ACT_UNAP_05	ACT_UNAP_06	ACT_UNAP_07	ACT_UNAP_08	ACT_UNAP_09	ACT_UNAP_10	ACT_UNAP_11	ACT_UNAP_12	ACT_AGAP_01	ACT_AGAP_02	ACT_AGAP_03	ACT_AGAP_04	ACT_AGAP_05	ACT_AGAP_06	ACT_AGAP_07	ACT_AGAP_08	ACT_AGAP_09	ACT_AGAP_10	ACT_AGAP_11	ACT_AGAP_12	ACT_AGUN_01	ACT_AGUN_02	ACT_AGUN_03	ACT_AGUN_04	ACT_AGUN_05	ACT_AGUN_06	ACT_AGUN_07	ACT_AGUN_08	ACT_AGUN_09	ACT_AGUN_10	ACT_AGUN_11	ACT_AGUN_12
2023	N.22.1000.01-001-001	공통	N	1. 신규	N.22.1000.01	신세계남산	2030	2030	KRW	1	1	N.22.1000.01-001	공사비	S000		1000	신세계	1000	본사	P900	손익센터-기타	20231231	공사비	기타공사_기타		기타공사	건설기타				1000Z001	본사_기타 공통	00000110	건물 (30년)							1	과세																					100000	100000	100000	100000	100000	100000																																	30000	500250000	999999999999																																		30000																											
2023	N.22.1000.01-001-002	신세계 건설	N	1. 신규	N.22.1000.01	신세계남산	2030	2030	KRW	1	1	N.22.1000.01-001	공사비	S000		1000	신세계	1000	본사	P900	손익센터-기타	20231231	공사비	기타공사_기타		기타공사	건설기타				1000A309	본사_DX팀	00000160	공기구비품							1	과세																					100000	100000	100000	100000	100000	100000																																			-999999999999																									100										504611														100												
2023	N.22.1000.01-001-003	TAX테스트용	N	1. 신규	N.22.1000.01	신세계남산	2030	2030	KRW	1	1	N.22.1000.01-001	공사비	S000		1000	신세계	1000	본사	P900	손익센터-기타	20231231	공사비	건축_직발주		건축	직발주				1000A001	본사_공통	00000110	건물 (30년)							1	과세																																																																																																																										
2023	S.19.1000.01-001-001	AAA 시스템 구축 [테스트]	S	5. 시스템	S.19.1000.01	테스트용 본사 시스템	2024	2024	KRW	500000000	500000000	S.19.1000.01-001	신규시스템_지원	S000		1000	신세계	1000	본사	P100	손익센터-백화점	20231231	신규시스템_지원	-							1000A001	본사_공통	00000550	소프트웨어							1	과세																																																																																																																										
2023	N.23.1100.01-001-001	통합테스트 본점 본관 건물	N	1. 신규	N.23.1100.01	통합테스트 본점 본관 건물	2023	2023	KRW	2300000000000	33630761165	N.23.1100.01-001	통합테스트 본점 본관 건물	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20070201	공사비	기타용역_건설공사						33630761165	1100A001	본점_공통	00000110	건물 (30년)	000000	시스템관리자용					3	불공제																																																												1000000000	500000000068711	100000000																						852500	46620																																					
2023	N.23.1100.01-002-001	투자예산 추가 시연(예산부족 Case)	N	1. 신규	N.23.1100.01	통합테스트 본점 본관 건물	2023	2023	KRW	2300000000000	33630761165	N.23.1100.01-002	공사비	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231027	공사비	기타공사_직발주							1100A001	본점_공통	00000110	건물 (30년)							2	공통																																																												80970																																				80970																										
2023	I.19.1000.01-001-001	DD회사 지분투자 [테스트]	I	2. 신규(지분투자)	I.19.1000.01	테스트용 본사 지분투자	2024	2024	KRW	200000000	200000000	I.19.1000.01-001	지분투자	S000		1000	신세계	1000	본사	P100	손익센터-백화점	20231231	지분투자	종속기업투자주식							1000A001	본사_공통	00000900	기타(미해당)							2	공통																																																																																																																										
2023	R.23.1100.01-003-004	계선	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-003	4층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231130	신관 4F	공사비_인테리어_직발주(인테리어)		공사비	인테리어	직발주(인테리어)			1100A494	본점_여성컨템포러리	00000120	인테리어	005990	미키슈즈																																																																																																																																
2023	R.23.1100.01-003-005	반스 정산	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-003	4층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231230	신관 4F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-003-006	금강	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-003	4층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231230	신관 4F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어									X																																																																																																																									
